Guardians of the Galaxy,"Action,Adventure,Sci-Fi",2014,121,8.1
Prometheus,"Adventure,Mystery,Sci-Fi",2012,124,7
Split,"Horror,Thriller",2016,117,7.3
Sing,"Animation,Comedy,Family",2016,108,7.2
Suicide Squad,"Action,Adventure,Fantasy",2016,123,6.2
The Great Wall,"Action,Adventure,Fantasy",2016,103,6.1
La La Land,"Comedy,Drama,Music",2016,128,8.3
Mindhorn,Comedy,2016,89,6.4
The Lost City of Z,"Action,Adventure,Biography",2016,141,7.1
Passengers,"Adventure,Drama,Romance",2016,116,7
Fantastic Beasts and Where to Find Them,"Adventure,Family,Fantasy",2016,133,7.5
Hidden Figures,"Biography,Drama,History",2016,127,7.8
Rogue One,"Action,Adventure,Sci-Fi",2016,133,7.9
Moana,"Animation,Adventure,Comedy",2016,107,7.7
Colossal,"Action,Comedy,Drama",2016,109,6.4
The Secret Life of Pets,"Animation,Adventure,Comedy",2016,87,6.6
Hacksaw Ridge,"Biography,Drama,History",2016,139,8.2
Jason Bourne,"Action,Thriller",2016,123,6.7
Lion,"Biography,Drama",2016,118,8.1
Arrival,"Drama,Mystery,Sci-Fi",2016,116,8
Gold,"Adventure,Drama,Thriller",2016,120,6.7
Manchester by the Sea,Drama,2016,137,7.9
Hounds of Love,"Crime,Drama,Horror",2016,108,6.7
Trolls,"Animation,Adventure,Comedy",2016,92,6.5
Independence Day: Resurgence,"Action,Adventure,Sci-Fi",2016,120,5.3
Paris pieds nus,Comedy,2016,83,6.8
Bahubali: The Beginning,"Action,Adventure,Drama",2015,159,8.3
Dead Awake,"Horror,Thriller",2016,99,4.7
Bad Moms,Comedy,2016,100,6.2
Assassin's Creed,"Action,Adventure,Drama",2016,115,5.9
Why Him?,Comedy,2016,111,6.3
Nocturnal Animals,"Drama,Thriller",2016,116,7.5
X-Men: Apocalypse,"Action,Adventure,Sci-Fi",2016,144,7.1
Deadpool,"Action,Adventure,Comedy",2016,108,8
Resident Evil: The Final Chapter,"Action,Horror,Sci-Fi",2016,107,5.6
Captain America: Civil War,"Action,Adventure,Sci-Fi",2016,147,7.9
Interstellar,"Adventure,Drama,Sci-Fi",2014,169,8.6
Doctor Strange,"Action,Adventure,Fantasy",2016,115,7.6
The Magnificent Seven,"Action,Adventure,Western",2016,132,6.9
5/25/1977,"Comedy,Drama",2007,113,7.1
Sausage Party,"Animation,Adventure,Comedy",2016,89,6.3
Moonlight,Drama,2016,111,7.5
Don't Fuck in the Woods,Horror,2016,73,2.7
The Founder,"Biography,Drama,History",2016,115,7.2
Lowriders,Drama,2016,99,6.3
Pirates of the Caribbean: On Stranger Tides,"Action,Adventure,Fantasy",2011,136,6.7
Miss Sloane,"Drama,Thriller",2016,132,7.3
Fallen,"Adventure,Drama,Fantasy",2016,91,5.6
Star Trek Beyond,"Action,Adventure,Sci-Fi",2016,122,7.1
The Last Face,Drama,2016,130,3.7
Star Wars: Episode VII - The Force Awakens,"Action,Adventure,Fantasy",2015,136,8.1
Underworld: Blood Wars,"Action,Adventure,Fantasy",2016,91,5.8
Mother's Day,"Comedy,Drama",2016,118,5.6
John Wick,"Action,Crime,Thriller",2014,101,7.2
The Dark Knight,"Action,Crime,Drama",2008,152,9
Silence,"Adventure,Drama,History",2016,161,7.3
Don't Breathe,"Crime,Horror,Thriller",2016,88,7.2
Me Before You,"Drama,Romance",2016,106,7.4
Their Finest,"Comedy,Drama,Romance",2016,117,7
Sully,"Biography,Drama",2016,96,7.5
Batman v Superman: Dawn of Justice,"Action,Adventure,Sci-Fi",2016,151,6.7
The Autopsy of Jane Doe,"Horror,Mystery,Thriller",2016,86,6.8
The Girl on the Train,"Crime,Drama,Mystery",2016,112,6.5
Fifty Shades of Grey,"Drama,Romance,Thriller",2015,125,4.1
The Prestige,"Drama,Mystery,Sci-Fi",2006,130,8.5
Kingsman: The Secret Service,"Action,Adventure,Comedy",2014,129,7.7
Patriots Day,"Drama,History,Thriller",2016,133,7.4
Mad Max: Fury Road,"Action,Adventure,Sci-Fi",2015,120,8.1
Wakefield,Drama,2016,106,7.5
Deepwater Horizon,"Action,Drama,Thriller",2016,107,7.2
The Promise,"Drama,History",2016,133,5.9
Allied,"Action,Drama,Romance",2016,124,7.1
A Monster Calls,"Drama,Fantasy",2016,108,7.5
Collateral Beauty,"Drama,Romance",2016,97,6.8
Zootopia,"Animation,Adventure,Comedy",2016,108,8.1
Pirates of the Caribbean: At World's End,"Action,Adventure,Fantasy",2007,169,7.1
The Avengers,"Action,Sci-Fi",2012,143,8.1
Inglourious Basterds,"Adventure,Drama,War",2009,153,8.3
Pirates of the Caribbean: Dead Man's Chest,"Action,Adventure,Fantasy",2006,151,7.3
Ghostbusters,"Action,Comedy,Fantasy",2016,116,5.3
Inception,"Action,Adventure,Sci-Fi",2010,148,8.8
Captain Fantastic,"Comedy,Drama",2016,118,7.9
The Wolf of Wall Street,"Biography,Comedy,Crime",2013,180,8.2
Gone Girl,"Crime,Drama,Mystery",2014,149,8.1
Furious Seven,"Action,Crime,Thriller",2015,137,7.2
Jurassic World,"Action,Adventure,Sci-Fi",2015,124,7
Live by Night,"Crime,Drama",2016,129,6.4
Avatar,"Action,Adventure,Fantasy",2009,162,7.8
The Hateful Eight,"Crime,Drama,Mystery",2015,187,7.8
The Accountant,"Action,Crime,Drama",2016,128,7.4
